timestamp,city,store_id,sale_number,sale_amount,associate
2017-02-19T17:00:00,Stephanieport,11,2162,247,Jenna White
2017-02-19T22:00:00,Gutierreztown,11,,1586,Laura Massey
2017-02-20T01:00:00,Colemanside,3,2858,631,Jacqueline Benson
2017-02-20T08:00:00,,1,1080,-161,Tina Martin
2017-02-20T13:00:00,,1,358,1414,David Khan
2017-02-20T21:00:00,South Jackie,7,2560,869,Erika Townsend
2017-02-21T03:00:00,Amandafurt,5,695,1273,Anne Wells
2017-02-21T10:00:00,East Lisa,9,1911,1584,Linda Atkinson
2017-02-21T11:00:00,Lake Jason,3,999,579,Shannon House
2017-02-21T13:00:00,Williambury,13,43,1399,Thomas Martin
2017-02-21T15:00:00,Stevenhaven,11,1425,1537,Terry Larsen
2017-02-21T21:00:00,Brandyberg,12,789,1461,Beth Christensen
2017-02-22T05:00:00,Port Seanborough,10,1689,1192,Amanda Palmer
2017-02-22T08:00:00,Jacquelineview,7,41,1171,Joyce Terry
2017-02-22T10:00:00,Mendezside,14,1571,282,Jeffrey Bush
2017-02-22T16:00:00,West Sherry,7,,1027,Marc Butler
2017-02-22T18:00:00,West Deanna,5,344,-104,
2017-02-22T19:00:00,East Carol,16,1773,748,Felicia Warren
2017-02-23T01:00:00,Cruzport,17,,434,Marissa Rodriguez
2017-02-23T05:00:00,Timothyhaven,5,1190,1213,Nicholas Carrillo
2017-02-23T08:00:00,East Henryland,3,2444,-338,Mckenzie Martinez
2017-02-23T13:00:00,North Saraview,12,2197,386,Steven Walker
2017-02-23T17:00:00,Beckland,10,1301,161,Megan Bonilla
2017-02-23T21:00:00,Lake Justinfort,7,2474,1093,
2017-02-24T06:00:00,Torresstad,17,2350,-207,Stephanie Perez
2017-02-24T07:00:00,North Shane,8,1337,1481,Aaron Mcmahon
2017-02-24T13:00:00,,7,1799,1562,Meghan Walker
2017-02-24T20:00:00,,7,2190,-45,John Blake
2017-02-25T01:00:00,Lake Kennethfort,15,2500,1434,Michele Flynn
2017-02-25T04:00:00,Gonzalestown,15,2004,1104,Jose Powell
2017-02-25T07:00:00,East Dean,16,2394,314,Hector Watts
